country,description,designation,points,price,province,region_1,title,variety,winery,year,location,avg_temp,range_temp,stdv_temp,avg_precip,range_precip,stdv_precip,lat,lng,elevation,review_length,abv,bottle_size,category,importer
Spain,"A staunch, almost severe level of oak controls the nose on this barrel-fermented Viura that's narrow on the palate, with high acidity. Oak stays around as the lead flavor, with a hint of sour apple, while texturally this feels solid and not too resiny.",Barrel Fermented,85,15,Northern Spain,Rioja,Taron 2015 Barrel Fermented Viura (Rioja),Viura,Taron,2015,"Rioja,Northern Spain,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,42.328553,-2.467492,826,44,12,750,White,Amphora Wine Imports
United States of America,"Aromas of cocoa and coffee are mixed with black licorice and dark berries, with this wine showing some reduction out of the gate that detracts. The flavors are rich and full bodied, carrying some warmth on the finish. The aromas and flavors seem disconnected.",The Estates,87,26,Washington,Wahluke Slope,Milbrandt 2012 The Estates Merlot (Wahluke Slope),Merlot,Milbrandt,2012,"Wahluke Slope,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.720694,-119.398077,214,44,15.5,750,Red,not_imported
Argentina,"An interesting but questionable value with Patagonian individuality. The nose features clove, wild flowers, leather and hot berry fruit aromas, while the feel is clacky and tannic, and the flavors a little baked and stewy. Raisin, heft and berry soup characteristics make this a ripe, full-bodied force to reckon with.",S,88,60,Other,Neuquén,Familia Schroeder 2004 S Cabernet Sauvignon (Neuquen),Cabernet Sauvignon,Familia Schroeder,2004,"Neuquén,Other,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-38.95493,-68.059257,273,50,14.5,750,Red,S Selections
United States of America,"Big flavors and structure come together perfectly in this full-bodied, dry wine that's meant for the dinner table. Its unique fruit character combines raspberry, blackberry and rhubarb, while firm tannins and vibrant acidity create an appetizing, mouth-cleansing texture.",Phil's Selection,91,25,California,Sierra Foothills,Sierra Starr 2013 Phil's Selection Zinfandel (Sierra Foothills),Zinfandel,Sierra Starr,2013,"Sierra Foothills,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,37.394157,-121.859452,42,38,14.5,750,Red,not_imported
Argentina,"Purple in color, with ripe, meaty, earthy aromas mixed with herbs, exotic berry fruit scents and vanilla. This is feisty and full-bodied Pinot with integrated plum, blueberry and well-applied oak. It's a little more citrusy and zesty than in previous vintages, and definitely a heavier style than its Cincuenta y Cinco counterpart, which will allow it to age for another four to seven years.",Treinta y Dos,90,150,Other,Río Negro Valley,Bodega Chacra 2008 Treinta y Dos Pinot Noir (Rio Negro Valley),Pinot Noir,Bodega Chacra,2008,"Río Negro Valley,Other,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-26.855195,-59.53464,79,64,13.5,750,Red,Kobrand
United States of America,"Ryan Zepaltas coaxes complex aromas and flavors of baked Golden Delicious apple and anise around a well-constructed foundation of integrated oak, 33% of it new French. Cloudy in appearance, the wine sings in anise and tangy tangerine.",Charles Heintz Vineyard,94,48,California,Sonoma Coast,Zepaltas 2013 Charles Heintz Vineyard Chardonnay (Sonoma Coast),Chardonnay,Zepaltas,2013,"Sonoma Coast,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.41699,-123.099029,68,37,14,750,White,not_imported
United States of America,"A consistently great white, this vintage is as impressive as ever, exhibiting steely, rocky minerality around savory, smooth layers marked by light, pretty flavors of key lime and lemon peel.",,91,17,California,Napa Valley,RouteStock 2015 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,RouteStock,2015,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.023468,-84.450465,243,30,13.4,750,White,not_imported
United States of America,"A rustic, common wine; it's not quite ripe, and is hot in alcohol and pepper. But it's okay for everyday pizza and such.",Lot 12,83,11,California,California,Grayson 2010 Lot 12 Zinfandel (California),Zinfandel,Grayson,2010,"California,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,36.701463,-118.755997,2761,23,14.1,750,Red,not_imported
Portugal,"One of the two estates in the Douro still in the hands of descendants of Dona Antonia Ferreira, who created so many Douro quintas, Vallado is able to produce great white wines as well as reds and Ports. This wood-aged Reserva is smooth, lightly toasty with freshness and citrus as well as pineapple and spice. It will age for several years and will be best from 2016.",Reserva Branco,92,50,Douro,,Quinta do Vallado 2013 Reserva Branco White (Douro),Portuguese White,Quinta do Vallado,2013,"Douro,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,41.170042,-7.30475,567,67,13,750,White,Quintessential Wines
United States of America,"The 2011 Riot (a play on Trio) is half Sangiovese and one quarter each Mourvèdre and Grenache. It's been amped up in 2011, with the alcohol pushing near a heady 15%. Spicy and superripe fruit packs some heat, along with flavors of red and purple fruits. The finish turns a bit chalky and tart.",Riot,86,20,Washington,Columbia Valley (WA),Trio Vintners 2011 Riot Red (Columbia Valley (WA)),Red Blend,Trio Vintners,2011,"Columbia Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.294767,-117.91747,711,54,14.8,750,Red,not_imported
Italy,"Already one of Italy's most iconic bottlings, this gorgeous 2010 is already a classic. Its complex and intense bouquet unfolds with ripe blackberries, violets, leather, thyme and balsamic herbs. The palate shows structure, poise and complexity, delivering rich black currants, black cherry, licorice, mint and menthol notes alongside assertive but polished tannins and vibrant energy. This wine will age and develop for decades. Drink 2018–2040.",Solaia,97,325,Tuscany,Toscana,Marchesi Antinori 2010 Solaia Red (Toscana),Red Blend,Marchesi Antinori,2010,"Toscana,Tuscany,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,43.792284,11.332806,319,65,14.5,750,Red,Ste. Michelle Wine Estates
New Zealand,Struck flint and tomato stalk on the nose lead into a medium-bodied wine with strong citrus overtones. White grapefruit and green leafy notes linger on the dry finish.,,90,24,Marlborough,,Loveblock 2015 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Loveblock,2015,"Marlborough,New Zealand",12.19364977,6.734552292,2.381810766,102.0731116,41.56097643,12.69657044,-41.474475,173.833026,44,28,13.5,750,White,Terlato Wines International
United States of America,"This blend of 55% Viognier, 30% Marsanne and 15% Roussanne has never been better. It's loaded with juicy stone fruits, accented with hints of tea tree oil and lemon verbena. A streak of black tea comes in gracefully as well, and along with its own unique flavor profile, it has the length and supple power of a very fine Chardonnay.",Spiral 36,92,28,Oregon,Applegate Valley,Cowhorn 2015 Spiral 36 White (Applegate Valley),Rhône-style White Blend,Cowhorn,2015,"Applegate Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,42.257066,-123.168383,390,60,13.4,750,White,not_imported
United States of America,"Cabernet Sauvignon (85%) takes the lead on this blend, with the balance Syrah. It brings aromas of earth, green herbs, citrus and cherry that are followed by ripe cherry flavors and a firm squeeze of slightly dry tannins.",Columbia Rediviva Phinny Hill Vineyard,90,50,Washington,Walla Walla Valley (WA),Buty 2013 Columbia Rediviva Phinny Hill Vineyard Cabernet Sauvignon-Syrah (Walla Walla Valley (WA)),Cabernet Sauvignon-Syrah,Buty,2013,"Walla Walla Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.065038,-118.330248,300,38,14.9,750,Red,not_imported
Austria,"The 16 months wood aging has smoothed the wrinkles in this wine, giving solid tannins, a dry core and red cherry and wild strawberry flavors. It is a fine performance, dense but not losing sight of the varietal character.",Grillenhügel,90,43,Thermenregion,,Johanneshof Reinisch 2007 Grillenhugel Pinot Noir (Thermenregion),Pinot Noir,Johanneshof Reinisch,2007,"Thermenregion,Austria",7.394704769,19.45019365,6.792561746,80.54383606,50.32248083,15.54089694,48.08914,16.297484,214,39,13,750,Red,Circo Vino
Australia,"A bit obviously pungent and sweaty, this passion fruit-scented wine is direct and to the point, marrying medium body with a tangy, mouthwatering finish. If you enjoy slightly feral citrus notes, you may rate it higher.",The Foil,87,21,South Australia,Adelaide Hills,Riposte 2015 The Foil Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,Riposte,2015,"Adelaide Hills,South Australia,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-34.990275,138.726095,515,36,12.5,750,White,Little Peacock Imports
United States of America,"Loads of purple fruit and baked goods show on the nose of this 36% Mourvèdre, 34% Grenache and 30% Syrah blend, reminiscent of blueberry pie and olallieberry-vanilla muffins. Flavors are plump and ripe, like blackberry cookie dipped in caramel-milk chocolate sauce. Fans of big Paso reds, rejoice.",Azimuth,91,54,California,Paso Robles,Caliza 2012 Azimuth Red (Paso Robles),Rhône-style Red Blend,Caliza,2012,"Paso Robles,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,35.626765,-120.691246,231,47,15.2,750,Red,not_imported
United States of America,"Dark in color and generously bodied, this wine exudes a taste and aroma of brown sugar and roasted plum, flavors that ride a wave of soft, velvety texture, blackberry compote and mocha chocolate. Richly rewarding, it's also a tremendous value.",,90,22,California,Russian River Valley,Novy 2013 Zinfandel (Russian River Valley),Zinfandel,Novy,2013,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,40,15.6,750,Red,not_imported
Canada,"Spicy, floral and with a touch of minerality, this is poised and layered. It's dense and honeyed on the palate but overall, has a balanced, attractive character. Imported by Bayfield Importing, Ltd.",Icewine,85,50,Ontario,Niagara Peninsula,Henry of Pelham 2004 Icewine Riesling (Niagara Peninsula),Riesling,Henry of Pelham,2004,"Niagara Peninsula,Ontario,Canada",-6.783356399,33.93217625,12.05985929,49.37696603,29.93148405,10.11748898,43.03263,-79.106083,173,32,10,375,Dessert,Henry Of Pelham Winery
France,"Produced from organically grown fruit, this is a delicious refreshing wine. Its red fruits and crisp lemon zest are balanced with the intense acidity and touch of herbs. It is great for summer drinking or as an apéritif.",L'Esprit de Sainte Marguerite,88,20,Provence,Côtes de Provence,Chateau Sainte Marguerite 2016 L'Esprit de Sainte Marguerite Rose (Cotes de Provence),Rosé,Château Sainte Marguerite,2016,"Côtes de Provence,Provence,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,43.449913,6.656105,10,38,12.5,750,Rose,"Dreyfus, Ashby & Co"
Spain,"Dilute and pickled, with similarly pickled citrus and melon flavors that lose direction along the way. Rather weak and mealy wine, with a strange profile that has to be due to the Malvasia/Viura marriage.",Malvasia-Verdejo,81,12,Northern Spain,Vino de la Tierra de Castilla y León,Vina Salamanca 2008 Malvasia-Verdejo White (Vino de la Tierra de Castilla y Leon),White Blend,Viña Salamanca,2008,"Vino de la Tierra de Castilla y León,Northern Spain,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,39.78373,-100.445882,833,34,12.5,750,White,The Artisan Collection
United States of America,"High-toned aromas of herb, flower, spice and cherry are followed by tart elegantly styled fruit flavors. The new oak influence seems minimal. Pair it with food to see it at its best.",Red Willow Vineyard,88,35,Washington,Yakima Valley,Eight Bells 2013 Red Willow Vineyard Cabernet Sauvignon (Yakima Valley),Cabernet Sauvignon,Eight Bells,2013,"Yakima Valley,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.601557,-120.510842,325,32,14.1,750,Red,not_imported
United States of America,"Good citrus fruit flavors, along the lines of grapefruits, limes and Meyer lemons, accompanied by zesty acidity mark this bone-dry Sauvignon Blanc. It really scours the mouth clean. Very nice with puff pastry mushroom appetizers, bruschetta with goat cheese and roasted red peppers, or crudités with a garlicky sour cream dip.",Rava Blackjack Vineyard,87,18,California,Monterey,Darcie Kent Vineyards 2009 Rava Blackjack Vineyard Sauvignon Blanc (Monterey),Sauvignon Blanc,Darcie Kent Vineyards,2009,"Monterey,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,36.584417,-121.866793,43,51,13.5,750,White,not_imported
United States of America,A mixture of blue fruit and herb aromas lead to fruit flavors that show restraint and polish. It's a very pretty representation of the vintage.,Foundation,91,35,Washington,Columbia Valley (WA),Structure 2014 Foundation Syrah (Columbia Valley (WA)),Syrah,Structure,2014,"Columbia Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.294767,-117.91747,711,25,14.5,750,Red,not_imported
Greece,"This rosé starts with scents of anise, pepper and spice, followed by an earthy array of spice and cranberry and cherry flavors. Exotic but refined, the wine will pair well with aged cheeses and beef.",Kanenas,89,19,Greece,,Tsantali 2015 Kanenas Rose (Greece),Rosé,Tsantali,2015,"Greece,Greece",15.67276666,16.09409428,5.652146887,42.29539444,67.32253803,22.30290485,38.995368,21.987713,984,35,13,750,Rose,"Fantis Imports, Inc"
Italy,"This is a full and generous Friulano (a native grape of northeast Italy) that shows ripe aromas of peach, melon and pear. It is smooth and rich on the palate and would pair with creamy seafood risotto.",Zuc di Volpe,89,38,Northeastern Italy,Colli Orientali del Friuli,Volpe Pasini 2008 Zuc di Volpe Friulano (Colli Orientali del Friuli),Friulano,Volpe Pasini,2008,"Colli Orientali del Friuli,Northeastern Italy,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,39.78373,-100.445882,833,37,13,750,White,Vinity Wine Company
Argentina,"Opens with classic lychee and melon aromas and only a touch of flower blossom. The palate has a nice, clean, healthy feel and flavors of green apple, lime and melon. Exceedingly clean and easygoing, with juicy acidity and proper balance.",,88,15,Mendoza Province,Mendoza,Espuela del Gaucho 2009 Torrontes (Mendoza),Torrontés,Espuela del Gaucho,2009,"Mendoza,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.870072,-68.547997,1032,40,13,750,White,WX Brands
Austria,"Yellow grapefruit peel, crushed white peppercorns and fresh chervil paint a picture of a quintessential Grüner here: flavorsome but not heavy, concentrated but slender, easy to enjoy but never facile. More ripe pear fruit lurks temptingly at the core while that grapefruit theme is utterly convincing and captivating.",Hundspoint,92,16,Weinviertel,,Gruber Roschitz 2015 Hundspoint Gruner Veltliner (Weinviertel),Grüner Veltliner,Gruber Röschitz,2015,"Weinviertel,Austria",7.394704769,19.45019365,6.792561746,80.54383606,50.32248083,15.54089694,39.78373,-100.445882,833,48,13,750,White,Deutsch Family Wine and Spirits
United States of America,"Dark cherry and mocha aromas come with a hint of desiccation. Supple and smooth on the palate, this finishes with a tangy mineral element and some warmth.",,85,22,North Carolina,Swan Creek,Raffaldini 2011 Montepulciano (Swan Creek),Montepulciano,Raffaldini,2011,"Swan Creek,North Carolina,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,35.623061,-75.998712,5,27,14.2,750,Red,not_imported
South Africa,"This blend of 45% Cabernet Franc, 18% Malbec, 17% Cabernet Sauvignon, 13% Merlot and 7% Petit Verdot opens with attractive green, herbal notes of peppercorn, laurel, blackcurrant leaf and plum skin. Smooth at first, with ripe plum and berry flavors on the palate, the fine tannins offer a pronounced yet dusty grip throughout the long, dry finish. It's a well-balanced wine that should continue to gain complexity through 2022.",MR de Compostella,92,85,Stellenbosch,,Mvemve Raats 2014 MR de Compostella Red (Stellenbosch),Bordeaux-style Red Blend,Mvemve Raats,2014,"Stellenbosch,South Africa",17.61656057,11.10531998,3.945795088,57.27163942,73.12992854,26.60092026,-33.934444,18.869167,127,69,14.5,750,Red,Cape Classics
United States of America,"A blend of grapes from seven well-known vineyards, this Pinot is made in a widely appealing style. Delicately silky but crisp with acidity, it has flavors of raspberry and cherry jam, cola and mooshu plum sauce, along with some sweet new oak.",,86,30,California,Carneros,Schug 2011 Pinot Noir (Carneros),Pinot Noir,Schug,2011,"Carneros,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,35.433993,-119.875774,518,42,13.5,750,Red,not_imported
Italy,Winemakers Mark Shannon and Elvezia Sbalchiero have crafted a light blend of Fiano and Greco with loads of lemon and lime flavors at the front. The palate is superlean and bright.,,84,10,Southern Italy,Puglia,A-Mano 2011 White (Puglia),White Blend,A-Mano,2011,"Puglia,Southern Italy,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,43.502643,11.882754,294,31,12.5,750,White,The Wine Group
United States of America,"Kudos to winemakers Adam and Dianna Lee for managing to wrest a Syrah this likeable from the difficult 2011 vintage. It's almost worth aging, with a delicious core of molten blackberries, black currants and green tea, and significant tannins, the kind that lock the palate down. And the wine may in fact hold and develop a bit. But the fruit won't outlast the tannins much beyond 2017. Whenever you drink it, give it a few hours in the decanter.",,89,22,California,Santa Lucia Highlands,Novy 2011 Syrah (Santa Lucia Highlands),Syrah,Novy,2011,"Santa Lucia Highlands,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,79,14.2,750,Red,not_imported
Spain,"Aggressive on the start, this Garnacha smells gritty and rough. Overt oak creates a creamy mouthfeel, while herbal and green berry flavors finish bitter.",Real de Aragón,83,15,Northern Spain,Calatayud,Pagos Familia Langa 2012 Real de Aragon Garnacha (Calatayud),Garnacha,Pagos Familia Langa,2012,"Calatayud,Northern Spain,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,41.352763,-1.642298,540,24,14.5,750,Red,Frontier Wine Imports
Chile,"Minty, leathery berry fruit aromas are herbal and foresty. This is flush and solid in feel, with controlled tannins. Roasted, herbal black plum and berry flavors are what you'd expect from Colchagua Valley Carmenère, while this feels meaty and tastes blackened on the finish.",Los Lingues Vineyard,88,20,Colchagua Valley,,Casa Silva 2015 Los Lingues Vineyard Carmenere (Colchagua Valley),Carmenère,Casa Silva,2015,"Colchagua Valley,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-34.534176,-71.414537,162,44,14.5,750,Red,Vine Connections
United States of America,"This wine opens with a touch of reductive qualities on the nose, allowing the oak to speak loudest. Soon, dark berry and cherry make their presence better felt, with the oak taking a lesser role and the soft, integrated tannins coating the palate in this light-bodied, unfussy effort.",Floodgate Vineyard,88,38,California,Russian River Valley,Fogline Vineyards 2012 Floodgate Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Fogline Vineyards,2012,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,48,12.9,750,Red,not_imported
United States of America,"So incredibly big and meaty, this old-vine Zinfandel lists itself at 15.8% alcohol and is indeed sweet but not jammy.",Epicenter Old Vine Zinfandel,83,20,California,Lodi,Mettler Family Vineyards 2008 Epicenter Old Vine Zinfandel Zinfandel (Lodi),Zinfandel,Mettler Family Vineyards,2008,"Lodi,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.097198,-121.38785,1,20,15.8,750,Red,not_imported
Spain,"Dusty, clammy, white fruit aromas are generic. This is pulpy in feel with a vague focus. Leesy, pithy citrus flavors are standard and short on personality, while this finishes adequately with a mild citric lift.",,87,17,Galicia,Rías Baixas,La Val 2014 Albarino (Rias Baixas),Albariño,La Val,2014,"Rías Baixas,Galicia,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,42.402507,-8.808344,28,35,12,750,White,Polaner Selections
United States of America,"This wine comes from the producer's 100% organic farm, 55 acres of its 356 planted to vines. It shows balance and grace, the grapes having enjoyed extended maceration on their skins, then let to age in mostly stainless steel, and a tiny amount of neutral oak. Light, crisp and simple, it offers a length of melon and stone fruit.",Bell Mountain Estate,89,27,California,Alexander Valley,Medlock Ames 2015 Bell Mountain Estate Sauvignon Blanc (Alexander Valley),Sauvignon Blanc,Medlock Ames,2015,"Alexander Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.469459,-99.55317,642,59,14.1,750,White,not_imported
South Africa,"Black berry, raspberry and cassis abound on the bouquet of this wine, lifted by superattractive aromas of fudgy brownie. The fruit transitions completely to the full palate, with a touch of peppery spice staying through the close. Drink now.",Grand Vin de Glenelly,88,25,Western Cape,,Glenelly 2007 Grand Vin de Glenelly Red (Western Cape),Red Blend,Glenelly,2007,"Western Cape,South Africa",17.61656057,11.10531998,3.945795088,57.27163942,73.12992854,26.60092026,-33.546977,20.72753,636,39,14,750,Red,Cape Classics
United States of America,"A little tough and gritty in acids and some uneven, green minty tannins, but there's a lot of cherry and raspberry flavor, and the finish is silky and long. Earns an extra point for the depth of fruit. Drink now.",Reserve,87,30,California,Los Carneros,Martin Ray 2009 Reserve Pinot Noir (Los Carneros),Pinot Noir,Martin Ray,2009,"Los Carneros,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,36.828516,-4.466318,503,40,14.2,750,Red,not_imported
France,"This is a rich wine made to be drunk young. It has spice, a smoky-bacon flavor and warm-hearted red plum and damson fruitiness. The wood aging shows through in hints of toast. The wine is ready now.",Esquisse,87,16,Southwest France,Gaillac,Domaine Rotier 2015 Esquisse Red (Gaillac),Red Blend,Domaine Rotier,2015,"Gaillac,Southwest France,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,43.901677,1.896794,148,37,13.5,750,Red,OZ Wine Company
United States of America,"Aged eight years prior to disgorgement, then again in the bottle, the Brut Séduction is a testament to how utterly delicious aged sparkling wine can be. Creamy in texture, with baby-soft bubbles and a rich, umami-laden warmth, it's brightened by lemon-lime acidity and hints of orange blossom and citrus rind that linger.",Brut Séduction,90,60,New York,North Fork of Long Island,Sparkling Pointe 2002 Brut Seduction Sparkling (North Fork of Long Island),Sparkling Blend,Sparkling Pointe,2002,"North Fork of Long Island,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,52,12.5,750,Sparkling,not_imported
United States of America,"This blend is 56% Cabernet Sauvignon, 22% Cabernet Franc and 22% Merlot, using grapes sourced entirely from this iconic Red Mountain vineyard. Notes of spice and iron interplay with tightly wound berry and cassis fruit. This is a steely, muscular wine, with an underpinning of graphite. History has proven that it will age beautifully.",Ciel du Cheval Vineyard,94,35,Washington,Red Mountain,Soos Creek 2009 Ciel du Cheval Vineyard Red (Red Mountain),Red Blend,Soos Creek,2009,"Red Mountain,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,48.9454,-122.106816,691,54,14.1,750,Red,not_imported
United States of America,"Showing a light whiff of funk, this seems a bit reductive at first, but opens gracefully with adequate aeration. Black cherry and dark chocolate flavors combine and thread into a medium finish with some of that same earthy character.",Red Hills Estate,92,85,Oregon,Dundee Hills,Archery Summit 2012 Red Hills Estate Pinot Noir (Dundee Hills),Pinot Noir,Archery Summit,2012,"Dundee Hills,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.171656,-94.579289,292,39,14.5,750,Red,not_imported
United States of America,"This tart, sleek, pretty wine shows bright strawberry and raspberry fruit. Quite young and fresh, it's still rather tight and stubbornly closed, even after breathing for a full 24 hours.",Eileen Vineyard,89,60,Oregon,Eola-Amity Hills,Cristom 2014 Eileen Vineyard Pinot Noir (Eola-Amity Hills),Pinot Noir,Cristom,2014,"Eola-Amity Hills,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,30,13.5,750,Red,not_imported
Italy,"Stoan is a bright white blend from northeast Italy that shows balance, freshness and intensity. Long aromas of stone fruit, melon, tangerine skin and white almond set the tone. The wine performs beautifully in the mouth thanks to its soft texture.",Stoan,90,35,Northeastern Italy,Alto Adige,Tramin 2011 Stoan White (Alto Adige),White Blend,Tramin,2011,"Alto Adige,Northeastern Italy,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,46.655969,11.229644,1499,41,14,750,White,The Winebow Group LLC
United States of America,"Syrah is still finding its way in Washington, and a certain sameness affects many of these wines. This tastes like the product of relatively young vines; spicy, leafy and lightly peppery, with tart cranberry and raspberry fruit, it's balanced and similar to a lighter Zin from the Dry Creek Valley; tasty and fresh, without over-reaching.",,87,32,Washington,Columbia Valley (WA),Michael Florentino Cellars 2006 Syrah (Columbia Valley (WA)),Syrah,Michael Florentino Cellars,2006,"Columbia Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.294767,-117.91747,711,55,750,750,Red,not_imported
South Africa,"Here is a rich and decadent style of Pinotage that boasts assertive characteristics of mocha, raspberry sauce and berry preserves. The palate offers ample acidity to keep the ripe fruit flavors in balance, with soft tannins and a clean, easy finish. Enjoy now.",Winemaker's Reserve,85,12,Western Cape,,Nederburg 2012 Winemaker's Reserve Pinotage (Western Cape),Pinotage,Nederburg,2012,"Western Cape,South Africa",17.61656057,11.10531998,3.945795088,57.27163942,73.12992854,26.60092026,-33.546977,20.72753,636,43,14,750,Red,"Dreyfus, Ashby & Co"
United States of America,"This is a lean, tart, high-acid vintage for Washington State white wines. Hogue's reliable Pinot Grigio is herbaceous and clean, fresh and tangy.",,86,11,Washington,Columbia Valley (WA),Hogue 2011 Pinot Grigio (Columbia Valley (WA)),Pinot Grigio,Hogue,2011,"Columbia Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.294767,-117.91747,711,23,12.7,750,White,not_imported
United States of America,"HandCraft has been consistently good with this grape, and this complex wine is another excellent example. Intriguing aromas of wood smoke and rosemary lead to concentrated fruit flavors like pomegranate and cranberry. The mouthfeel is layered and nicely tannic, and flavors seem to go deep.",Artisan Collection,89,12,California,California,HandCraft 2014 Artisan Collection Malbec (California),Malbec,HandCraft,2014,"California,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,36.701463,-118.755997,2761,45,14.5,750,Red,not_imported
France,"Every Gascon white grape seems to have ended up in this ripe, soft blend. It offers plenty of cool-climate acidity, with lemon and pink grapefruit. It also has a steely, more mineral bite, with a more honeyed, perfumed aftertaste.",Le Moulin en Gascogne,85,11,Southwest France,Côtes de Gascogne,Laudet 2014 Le Moulin en Gascogne White (Cotes de Gascogne),White Blend,Laudet,2014,"Côtes de Gascogne,Southwest France,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,39.78373,-100.445882,833,39,12,750,White,The Frolish Wine Merchants
United States of America,"Leesy, yeasty notes lend a savory feel to freshly-pressed apple and herb flavors in this easy-drinking Chardonnay. It's dry in style with a delicate mouthfeel that's accentuated by bright streaks of lemony acidity.",,86,20,New York,Seneca Lake,Belhurst 2011 Chardonnay (Seneca Lake),Chardonnay,Belhurst,2011,"Seneca Lake,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,33,12.5,750,White,not_imported
Argentina,"A little hot smelling at first, but then it settles nicely on floral cherry and aromatic plum. Good in the mouth, with lightness of being and flow. Tastes of light oak, butter, strawberry and raspberry in front of a short but airy finish. Fresh and solid for the price.",,87,15,Other,Patagonia,Manos Negras 2010 Pinot Noir (Patagonia),Pinot Noir,Manos Negras,2010,"Patagonia,Other,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-44.989665,-70.817206,694,49,13.5,750,Red,Vino Del Sol
United States of America,"The aromas of blue fruit, herbs and spice are initially under tight restraint. The flavors are full, with the tannins simultaneously firm and fine grained. It shows good length.",,90,40,Washington,Red Mountain,Canvasback 2013 Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Canvasback,2013,"Red Mountain,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,48.9454,-122.106816,691,29,14.5,750,Red,not_imported
