,country,description,designation,points,price,province,region_1,title,variety,winery,year,location,avg_temp,range_temp,stdv_temp,avg_precip,range_precip,stdv_precip,lat,lng,elevation,review_length,abv,bottle_size,category,importer
53,France,"The entry level wine from Eugénie, this is a smooth, ripe wine, juicy and structured enough to give weight to the texture. The black currant fruits are already blossoming through the tannins. The wine should be ready to drink in 2014.",Tradition,89,16.0,Southwest France,Cahors,Chateau Eugenie 2010 Tradition Malbec-Merlot (Cahors),Malbec-Merlot,Château Eugénie,2010,"Cahors,Southwest France,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,44.4495,1.4365,136,41,,,no_category,not_imported
54,United States of America,"A new addition to the winery's lineup, this wine opens with aromas of underbrush, dark raspberries and red licorice. The palate shows an exquisite sense of restraint and polish along with a lengthy finish that kicks it up a notch. It's a very pretty, thoroughly beguiling wine.",Le Corbeau Discovery Vineyard,91,50.0,Washington,Horse Heaven Hills,Avennia 2014 Le Corbeau Discovery Vineyard Syrah (Horse Heaven Hills),Syrah,Avennia,2014,"Horse Heaven Hills,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,39.78373,-100.445882,833,47,14.0,750.0,Red,not_imported
55,Italy,"This Aleatico made from sun-dried grapes is a perfect companion to chocolate-based desserts. It's a red, sweet wine from the Tuscan island of Elba with aromas of black cherry, jam, pomegranate and spice. It has structure and texture and boasts some mild tannins that can cut through chocolate's smooth creaminess.",,86,44.0,Tuscany,Aleatico dell'Elba,Mola 2006  Aleatico dell'Elba,Aleatico,Mola,2006,"Aleatico dell'Elba,Tuscany,Italy",13.84565306,14.71520433,5.1695224810000004,56.19966563,56.06968785,17.68605786,39.78373,-100.445882,833,50,,,no_category,not_imported
56,France,"Offering both richness and absolute freshness, the wine layers ripe white and yellow fruits, creamed apple flavors and a great line of mineral texture and citrus flavor. It will age, give this 6 years.",Le Champ Gain,93,100.0,Burgundy,Puligny-Montrachet,Camille Giroud 2008 Le Champ Gain  (Puligny-Montrachet),Chardonnay,Camille Giroud,2008,"Puligny-Montrachet,Burgundy,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,46.94497,4.75393,230,34,,,no_category,not_imported
57,Portugal,"This is a richly structured wine. With its juicy red fruits and generous structure, it is delicious now. Berry flavors and acidity go with the mineral edge of the texture to create a wine that is packed with acidity, tannins and fruit. Drink now.",Tinto,90,15.0,Dão,,Casa da Passarella 2014 Tinto Red (Dao),Portuguese Red,Casa da Passarella,2014,"Dão,Portugal",16.07577561,9.483322288,3.3539810310000004,55.12418526,88.22825322,29.33222663,39.78373,-100.445882,833,44,13.5,750.0,Red,"M Imports, LLC"
58,United States of America,"A robust, spicy wine that offers lots of bang for the buck. The flavors range from lush raspberries and red cherries up through blackberries and currants, veering into mocha, and there's lots of crushed black pepper. Easy to like with steak, lamb, Mexican food.",The Slammer,88,14.0,California,Central Coast,Big House 2008 The Slammer Syrah (Central Coast),Syrah,Big House,2008,"Central Coast,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,-33.31171,151.31206699999998,176,44,13.5,750.0,Red,not_imported
59,United States of America,"A small percentage of Petit Verdot was added to this Cab, the grapes sourced from throughout the Napa Valley. Cedar, mint and chocolate cassis come foreward on the palate, the wine slightly thin though oaky.",Diamond Selection,84,70.0,California,Napa Valley,Rombauer 2010 Diamond Selection Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Rombauer,2010,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,39.023468,-84.45046500000001,243,35,14.2,750.0,Red,not_imported
60,United States of America,"Hang onto your hat; here's a very great Syrah. The aromas are hiding, now suggesting plum and blackberry, now black pepper, now freshly baked rhubarb pie. In the mouth, it knocks out with grace and power. It's soft as silk, but complex and layered, and the richly tannic finish suggests aging potential. Not too long, though.","Sentinel Oak Vineyard, Pyramid Block",94,35.0,California,Shenandoah Valley (CA),"Terre Rouge 1999 Sentinel Oak Vineyard, Pyramid Block Syrah (Shenandoah Valley (CA))",Syrah,Terre Rouge,1999,"Shenandoah Valley (CA),California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,38.485125,-78.625016,293,56,,,no_category,not_imported
61,Austria,"A full-bodied wine, layering delicious apricot and pear fruits with lemon zest and an apple skin texture. With a great bite of acidity, this is a ripe yet also mineral wine. Screwcap.",Rotenpullen,90,20.0,Niederösterreich,,Pratsch 2009 Rotenpullen Gruner Veltliner (Niederosterreich),Grüner Veltliner,Pratsch,2009,"Niederösterreich,Austria",7.394704769,19.45019365,6.7925617460000005,80.54383606,50.32248083,15.54089694,48.281781,15.763245999999999,298,32,13.5,750.0,White,"Winesellers, Ltd"
62,United States of America,"Woody fruit notes of elderberry and bramble meet with graphite and sagebrush on the nose of this block-designated bottling from the longtime growing family. Plums and cranberries get a serious juniper and pine-sap twist on the palate, laid across lots of loamy earth. The grippy character will soften and protect this wine, so drink 2018–2025.",Block 3 Estate,91,50.0,California,Santa Lucia Highlands,McIntyre Vineyards 2013 Block 3 Estate Pinot Noir (Santa Lucia Highlands),Pinot Noir,McIntyre Vineyards,2013,"Santa Lucia Highlands,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,39.78373,-100.445882,833,55,14.5,750.0,Red,not_imported
63,Italy,"A 50-50 blend of Cabernet Sauvignon and Cabernet Franc, this offers aromas of cedar, leafy underbrush, scorched earth, ripe dark fruit and ground black pepper. The palate delivers dried black currants, licorice, mint and tobacco alongside velvety tannins. Drink through 2019.",Boschivo,90,51.0,Tuscany,Toscana,Leopoldo I di Toscana 2011 Boschivo Red (Toscana),Red Blend,Leopoldo I di Toscana,2011,"Toscana,Tuscany,Italy",13.84565306,14.71520433,5.1695224810000004,56.19966563,56.06968785,17.68605786,43.792284,11.332806,319,41,14.5,750.0,Red,"Mid-State Wine & Liquor, LP"
64,United States of America,"Aromas of yellow melon, faint wood and just a touch of nuttiness greet the nose on this bottling from Daniel LeFrancois' globetrotting brand. Barrel smoke hits the front of the palate, then evolves into golden pear and marzipan with a slightly oxidized but pleasant finish.",,87,25.0,California,Monterey,Wine Spots 2013 Chardonnay (Monterey),Chardonnay,Wine Spots,2013,"Monterey,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,36.584416999999995,-121.86679299999999,43,45,13.5,750.0,White,not_imported
65,France,"If the wood had been used more judiciously, this would already have been a rich wine. As it is, the burnt-toast wood character needs time to blow off and integrate. The fruit itself is full in the mouth and juicy. Cabernet Sauvignon dominates and adds the fruit structure. Drink from 2018.",,89,,Bordeaux,Médoc,Chateau Les Trois Manoirs 2012  Medoc,Bordeaux-style Red Blend,Château Les Trois Manoirs,2012,"Médoc,Bordeaux,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,45.558531,-0.49876400000000004,32,51,,,no_category,not_imported
66,France,"An almost creamy wave of pear fruit hits the nose. The palate is equally soft and full fruited, boosted by residual sweetness that makes the fruit fluid and rounded. This is countered by ample zesty freshness that has a pithy slightly bitter edge. The finish is just off dry and clean.",,88,15.0,Alsace,Alsace,Joseph Fritsch 2016 Pinot Gris (Alsace),Pinot Gris,Joseph Fritsch,2016,"Alsace,Alsace,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,49.127043,6.145731,170,51,12.5,750.0,White,Margaux & Company
67,France,"A very structured, firm wine with excellent acidity and dark, dry tannins. The alcohol does show through, but the wine is firm and very dense, a big success from this Lurton family owned property.",,91,30.0,Bordeaux,Pessac-Léognan,Chateau Bouscaut 2010  Pessac-Leognan,Bordeaux-style Red Blend,Château Bouscaut,2010,"Pessac-Léognan,Bordeaux,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,39.78373,-100.445882,833,34,,,no_category,not_imported
68,Argentina,"After a rubbery, gaseous smelling opening, things settle on standard berry aromas. The palate feels full and fresh, with zesty acidity. Flavors of rubber and generic black fruits finish solid and dark.",Natal,86,14.0,Mendoza Province,Mendoza,Alpamanta 2010 Natal Malbec (Mendoza),Malbec,Alpamanta,2010,"Mendoza,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.870072,-68.547997,1032,32,13.5,750.0,Red,William Harrison Imports
69,United States of America,"With grapes from Upland Vineyard and aged in neutral French oak, this wine offers aromas of nori, cherry and tire rubber. It's supple and lithe in feel with explosive, concentrated umami flavors that shimmer with intensity, with olive notes on the finish. The aromas and flavors don't entirely marry at present but the feel simply dazzles.",,90,22.0,Washington,Yakima Valley,Idilico 2012 Monastrell (Yakima Valley),Monastrell,Idilico,2012,"Yakima Valley,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,46.601557,-120.510842,325,56,14.1,750.0,Red,not_imported
70,Italy,"Enticing scents of rose, violet, smoke, red berry and white pepper are just some of the aromas you'll find on this stunning wine. The elegantly structured palate delivers juicy wild cherry, crushed raspberry, cake spice and mineral alongside elegant tannins and bright acidity. A licorice note signals the close. Drink 2016–2026.",,94,52.0,Piedmont,Barolo,Fratelli Alessandria 2011  Barolo,Nebbiolo,Fratelli Alessandria,2011,"Barolo,Piedmont,Italy",13.84565306,14.71520433,5.1695224810000004,56.19966563,56.06968785,17.68605786,44.610841,7.942844999999999,298,51,,,no_category,not_imported
71,United States of America,"A brightly aromatic wine with notes of candied fruit, raspberries, freshly ground herbs and cranberry. The palate has plump, ripe fruit flavors that glide on the finish.",Grenache,89,42.0,Washington,Snipes Mountain,Robert Ramsay 2011 Grenache Grenache (Snipes Mountain),Grenache,Robert Ramsay,2011,"Snipes Mountain,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,46.311519,-120.08948999999998,383,27,14.1,750.0,Red,not_imported
72,Portugal,"This is a rich wine dominated by ripe Alicante Bouschet that gives some firm tannins as well as juicy red berry fruits. It is ripe, well balanced and likely to age well over the next few years. Drink from 2017.",Bátoreus Selection,88,16.0,Tejo,,Terra Silvestre 2014 Batoreus Selection Red (Tejo),Portuguese Red,Terra Silvestre,2014,"Tejo,Portugal",16.07577561,9.483322288,3.3539810310000004,55.12418526,88.22825322,29.33222663,39.78373,-100.445882,833,40,13.5,750.0,Red,Vinamericas Selections
73,United States of America,"Six different varieties are included in the blend, which varies from year to year. This is very open and fruity, a good, all-purpose red blend that is ready to drink right now. The palate impression is almost too soft, with a residual flavor of ripe bananas running through the finish.",Red Wine,85,15.0,Washington,Horse Heaven Hills,Six Prong 2004 Red Wine Red (Horse Heaven Hills),Red Blend,Six Prong,2004,"Horse Heaven Hills,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,39.78373,-100.445882,833,50,,750.0,Red,not_imported
74,Italy,"White spring flower, mature pear and yellow peach aromas lead the nose on this enjoyable white. The ripe round palate offers exotic fruit and a hint of white almond.",,87,,Veneto,Soave,Zambon 2015  Soave,Garganega,Zambon,2015,"Soave,Veneto,Italy",13.84565306,14.71520433,5.1695224810000004,56.19966563,56.06968785,17.68605786,45.42023,11.247722,32,29,,,no_category,not_imported
75,United States of America,"The second release from this young Walla Walla winery is a blend of 58% Cabernet Sauvignon, 38% Merlot and 4% Syrah. It's a pungent, assertive, somewhat funky wine that shows a mix of ripe plum and berry fruits, appealing tack room earthiness, and a nicely integrated end run of dried herb and coffee.",Double Barrel,88,,Washington,Walla Walla Valley (WA),Sweet Valley Wines 2006 Double Barrel Red (Walla Walla Valley (WA)),Red Blend,Sweet Valley Wines,2006,"Walla Walla Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,46.065038,-118.330248,300,53,,750.0,Red,not_imported
76,New Zealand,"The only trouble with this bargain-priced version of a vendange tardive Pinot Gris will be finding some, as only 40 cases were imported. At only 11.6% alcohol, there's plenty of sugar left in the wine (67 g/l), concentrated and enriched by the inclusion of 50% botrytis-affected fruit. The impressions are of honeyed pineapple, ripe melon and peach preserves, finishing long and sweet. Delicious now, but should still be good 5–6 years down the road.",Estate,91,24.0,Waipara,,Mountford 2008 Estate Pinot Gris (Waipara),Pinot Gris,Mountford,2008,"Waipara,New Zealand",12.19364977,6.734552292,2.381810766,102.07311159999999,41.56097643,12.69657044,-43.058482,172.76023999999998,75,74,11.6,750.0,White,Infinity Imports
77,France,"There is both wonderful bite and density to this great wine. It has a weighty texture full of ripe, rich fruit. At the same time, the wine is bone dry and crisp with acidity. It' s just beginning to mature, and while enjoyable now, it's better to wait until 2016.",Kessler Grand Cru,95,30.0,Alsace,Alsace,Domaines Schlumberger 2009 Kessler Grand Cru Riesling (Alsace),Riesling,Domaines Schlumberger,2009,"Alsace,Alsace,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,49.127043,6.145731,170,50,,,no_category,not_imported
78,Bulgaria,"Ripe fruit aromas of red raspberry, red plum and cassis lead the bouquet of this Bulgarian Mavrud, with secondary notes of smoked meats and cocoa powder that add intrigue. The silky mouthfeel has flavors of ripe red fruits followed by a bright acidic finish.",Ilaya Reserve,89,17.0,Thracian Valley,,Manastira 2013 Ilaya Reserve Mavrud (Thracian Valley),Mavrud,Manastira,2013,"Thracian Valley,Bulgaria",11.19911039,21.58143463,7.54185646,54.85948563,47.54406995,14.77838156,39.78373,-100.445882,833,44,13.0,750.0,Red,Old Town Wine Imports
79,France,"This smooth wine is rich with yellow fruits, an opulent texture and a sprinkling of spice. The acidity and the crisper citrus flavors in the background give the essential lift to this ripe wine. Drink now.",Vieilles Vignes,91,37.0,Burgundy,Pouilly-Fuissé,Domaine Vincent Girardin 2015 Vieilles Vignes  (Pouilly-Fuisse),Chardonnay,Domaine Vincent Girardin,2015,"Pouilly-Fuissé,Burgundy,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,39.78373,-100.445882,833,36,,,no_category,not_imported
80,Italy,"Here's a focused expression of Barbera (aged only in stainless steel) that opens with bright notes of cherry, cassis, blackberry and a touch of prune. Those fresh fruit flavors are backed by crisp acidity.",Sanbastian,87,15.0,Piedmont,Barbera d'Asti,Dacapo 2007 Sanbastian  (Barbera d'Asti),Barbera,Dacapo,2007,"Barbera d'Asti,Piedmont,Italy",13.84565306,14.71520433,5.1695224810000004,56.19966563,56.06968785,17.68605786,39.78373,-100.445882,833,34,,,no_category,not_imported
81,United States of America,"This is buttery to a fault, with the overpowering aroma of microwave popcorn. Once in the mouth, the simple fruit flavors are buried, and the finish leaves a lightly bitter impression.",Estate Reserve,85,18.0,Oregon,Willamette Valley,David Hill 2010 Estate Reserve Chardonnay (Willamette Valley),Chardonnay,David Hill,2010,"Willamette Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,45.344287,-122.66703700000001,50,31,12.8,750.0,White,not_imported
82,South Africa,"Eenzaamheid—Dutch for solitude—is named in honor of the isolated vineyard that the grapes for this wine are sourced from. It leads with forward aromas of brambly forest berry, game and tree bark, alongside soft hints of cocoa and coffee. Medium weight with a ripe, fruity mouthfeel and earthy pepper notes that remain through the finish. Well balanced and structured; drink now–2016.",Eenzaamheid,91,37.0,Paarl,,Fairview 2009 Eenzaamheid Shiraz (Paarl),Shiraz,Fairview,2009,"Paarl,South Africa",17.61656057,11.10531998,3.945795088,57.27163942,73.12992854,26.60092026,-33.741667,18.975,106,61,14.0,750.0,Red,Vineyard Brands
83,France,"Rich and soft, but finely textured, great ripe swathes of spiced apricot and pear juice. A fine, delicious wine.",Hors Classe,87,,Burgundy,Pouilly-Fuissé,Vins Auvigue 2008 Hors Classe  (Pouilly-Fuisse),Chardonnay,Vins Auvigue,2008,"Pouilly-Fuissé,Burgundy,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,39.78373,-100.445882,833,19,,,no_category,not_imported
84,Italy,"Nei Cannubi from Poderi Einaudi is textbook Barolo; the kind of wine you can bank on for an elegant and enlightening drinking experience. You see that, here, all the elements are perfectly in place and stacked for maximum pleasure. Aromas of blue flower, berry and shaved mineral build in intensity and the wine is determined and persistent on the palate.",Nei Cannubi,94,100.0,Piedmont,Barolo,Poderi Luigi Einaudi 2006 Nei Cannubi  (Barolo),Nebbiolo,Poderi Luigi Einaudi,2006,"Barolo,Piedmont,Italy",13.84565306,14.71520433,5.1695224810000004,56.19966563,56.06968785,17.68605786,44.610841,7.942844999999999,298,60,,,no_category,not_imported
85,Argentina,"Earthy up front, with roasted, smoky berry aromas and herbal accents. Feels good, with tomato, red plum, leaf, herb and oaky flavors. Turns more juicy and rugged as it opens, with a light green character to the finish.",Centenario Reserve,86,14.0,Other,San Juan,Graffigna 2009 Centenario Reserve Malbec (San Juan),Malbec,Graffigna,2009,"San Juan,Other,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-47.18603,-66.310761,72,38,13.5,750.0,Red,Pernod Ricard
86,France,"Freshly sliced green and yellow apples are the aromatic markers of this dry, softly fizzing crémant. There is substance and body from yeasty autolysis that comes across as the golden crust of wheat bread, with the apples always peeping through. An elegant apéritif without dosage and all the purity of ripe, delicious fruit.",Brut Zero Dosage,90,,Alsace,Crémant d'Alsace,Domaine Barmes-Buecher 2012 Brut Zero Dosage Sparkling (Cremant d'Alsace),Sparkling Blend,Domaine Barmès-Buecher,2012,"Crémant d'Alsace,Alsace,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,39.78373,-100.445882,833,53,12.5,750.0,Sparkling,Petit Pois
87,Austria,"Miso paste cuts through with yeasty, salty richness set against wonderfully sharp citric freshness lends serious thrill to this textured, layered Grüner. There is more to come on the aromatic front in future years, even though it will take a lot of resistance not to drink it right now.",Lamm Reserve,91,65.0,Kamptal,,Hirsch 2013 Lamm Reserve Gruner Veltliner (Kamptal),Grüner Veltliner,Hirsch,2013,"Kamptal,Austria",7.394704769,19.45019365,6.7925617460000005,80.54383606,50.32248083,15.54089694,48.380713,16.524664,171,49,13.0,750.0,White,"Skurnik Wines, Inc"
88,United States of America,"Layers of sweet orange marmalade, citrus rind and pollen mingle seamlessly into this deliciously honeyed ice wine. Intensely ripe, almost creamy in texture, its succulent sweetness is balanced neatly by a dazzling spray of tangerine acidity.",Ice,92,25.0,New York,Finger Lakes,Standing Stone 2014 Ice Riesling (Finger Lakes),Riesling,Standing Stone,2014,"Finger Lakes,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,39.621495,-84.198677,277,36,11.4,375.0,Dessert,not_imported
89,United States of America,"The Muscat Canelli in the blend really stands out, offering tangerine aromas and flavors. But additional fruit and spice complexities are offered by Sauvignon Blanc and Viognier, among other varieties. Crisply acidic and dry, this is an outstanding white wine, and a versatile one at the table. Sommeliers, buy this by the case.",White,89,10.0,California,California,Big House 2007 White White (California),White Blend,Big House,2007,"California,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,36.701463000000004,-118.755997,2761,53,13.5,750.0,White,not_imported
90,United States of America,"Fruity and forward, Nefarious Cellars has its first estate-grown Malbec. It's loaded with cherry fruit and darker notes of smoke, tar and chocolate. Give it plenty of breathing time and it opens up gracefully.",Defiance Vineyard,89,27.0,Washington,Lake Chelan,Nefarious 2009 Defiance Vineyard Malbec (Lake Chelan),Malbec,Nefarious,2009,"Lake Chelan,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,39.78373,-100.445882,833,34,,,no_category,not_imported
91,Australia,"Not that much Hunter Shiraz makes it to the U.S. these days, but this bottling from Wyndham Estate is a nice example. It shows rather clean winemaking, with strong vanilla and cedar notes from barrel aging to go alongside blueberry and blackberry fruit. Only mildly tannic, so it's approachable now, but should age through at least 2012.",Black Cluster,89,35.0,New South Wales,Hunter Valley,Wyndham Estate 2003 Black Cluster Shiraz (Hunter Valley),Shiraz,Wyndham Estate,2003,"Hunter Valley,New South Wales,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-36.44167,144.506543,126,57,13.5,750.0,Red,Pernod Ricard
92,Australia,"Light in weight and subtle in flavor, this Chard is a welcome change from some of its mega-mallowy Oz compatriots. There are citrus and peach flavors on the palate and floral, yellow fruit aromas; it starts to get toasty with aeration.",,85,16.0,Western Australia,Western Australia,Chalice Bridge 2001 Chardonnay (Western Australia),Chardonnay,Chalice Bridge,2001,"Western Australia,Western Australia,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-32.021817999999996,115.936626,3,41,13.0,,no_category,Low Country Imports
93,United States of America,"Hard to get lushness and complexity into a Chard at this price, but this wine tries hard. It's a cool climate wine, to judge from the crisp, upfront acidity. Flavors veer toward apples and citrus fruits, and if there's any oak, it doesn't show. Finishes clean and lean.",,84,10.0,California,Monterey,Maddalena 2001 Chardonnay (Monterey),Chardonnay,Maddalena,2001,"Monterey,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,36.584416999999995,-121.86679299999999,43,48,,750.0,White,not_imported
94,Spain,"Aromatically speaking, there's bacon and plastic-like notes to the nose along with generic berry scents. The palate is medium in size and intense, with bold cherry and plum flavors as well as oaky backing. It finishes short, with rubbery accents and a distinct clove flavor.",,85,12.0,Northern Spain,Campo de Borja,Penelope Sanchez 2011 Garnacha-Syrah (Campo de Borja),Garnacha-Syrah,Penelope Sanchez,2011,"Campo de Borja,Northern Spain,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,41.786763,-1.505819,479,45,,,no_category,not_imported
95,United States of America,"This wine shows quite a bit of tropicality on the nose, with lychee and kiwi fruits, yet manages to remain restrained at the same time. It's soft on the palate, with white peach flesh, and shows a very intriguing herbal side, with tarragon and mint flavors, but not in a green pepper way at all.",,89,24.0,California,Santa Barbara County,Consilience 2012 Viognier (Santa Barbara County),Viognier,Consilience,2012,"Santa Barbara County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,34.713653,-119.985823,934,55,14.7,750.0,White,not_imported
96,Austria,"Fresh, crisp, citrus and floral flavors make a light, easy Grüner Veltliner, a great summer drink of light white fruits and green berries. Screwcap.",Koenigsegg Velt. 1,86,12.0,Burgenland,,Schloss Halbturn 2006 Koenigsegg Velt. 1 Gruner Veltliner (Burgenland),Grüner Veltliner,Schloss Halbturn,2006,"Burgenland,Austria",7.394704769,19.45019365,6.7925617460000005,80.54383606,50.32248083,15.54089694,47.5,16.416667,333,24,,,no_category,not_imported
97,Argentina,"Hot and rubbery on the nose, and while it doesn't smell bad it doesn't persuade you to go further. The palate has size, but it's not smooth as the acids dominate. And the flavors of berry and cherry are generic and almost impossible to identify as Syrah. Forgettable wine with tartness.",,83,18.0,Mendoza Province,Mendoza,Lagarde 2008 Syrah (Mendoza),Syrah,Lagarde,2008,"Mendoza,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.870072,-68.547997,1032,51,14.0,750.0,Red,Well-Oiled Wine Company
98,Germany,"A hint of honeysuckle perfume lends flair to this dry, easy-quaffing Riesling. It's fairly straightforward on the palate, with fresh apple and lemon flavors, but brisk and bright, with pineapple acidity and a swathe of fresh herbs on the finish.",Grey Slate Dry,87,18.0,Mosel,,Schmitges 2011 Grey Slate Dry Riesling (Mosel),Riesling,Schmitges,2011,"Mosel,Germany",7.6779113510000006,16.99427104,5.988472622000001,77.46859794,41.7467436,12.88818694,50.366929,7.583098,64,40,12.5,750.0,White,Magellan Wine Imports
99,Chile,"Lightly vegetal aromas suggest asparagus. This feels round and chunky but not lazy or flabby. Flavors of citrus and citrus peel include bitter notes, while this tastes outright pithy on the finish. Drink now.",Ilaia,85,11.0,Central Valley,,Vina Marty 2014 Ilaia Sauvignon Blanc (Central Valley),Sauvignon Blanc,Viña Marty,2014,"Central Valley,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-23.122392,-69.540424,1385,34,13.5,750.0,White,Wines & Beyond Import
